Malate dehyrdogenase (adductor muscle),,,,Citrate synthase (adductor muscle),,
M. tross,M. gallo,Hybrid,,M. gallo,M. tross,Hybrid
57.48773,70.6468,49.1372,,0.6174,1.2348,0.294
87.1976,66.2676,119.2044,,0.6174,1.7934,1.2936
124.7643,53.3876,72.8364,,0.8232,2.3226,1.4406
84.8792,80.9508,67.7488,,0.9114,2.352,1.6464
83.076,82.0456,95.35494,,0.9702,2.5872,1.9992
125.3653,80.4356,114.31,,1.2054,2.6166,2.2638
138.8464,83.3336,87.7128,,1.4406,2.7636,2.2932
111.0256,81.5304,112.6356,,1.5288,2.8812,2.2932
81.9168,57.78827,90.804,,1.5876,2.8812,2.4108
130.3456,,125.1936,,,3.0576,2.7342
96.4712,,95.634,,,3.1752,2.9694
130.088,,143.2256,,,3.8808,3.1752
,,64.7864,,,,3.4692