genotype,life_stage,temp,iu_mgfw
sk,adult,ctrl,0.088
sk,adult,ctrl,0.143
sk,adult,ctrl,0.18
sk,adult,ctrl,0.24
sk,adult,ctrl,0.292
sk,adult,ctrl,0.323
sk,adult,ctrl,0.36
sk,adult,ctrl,0.37
sk,adult,ctrl,0.44
sk,adult,ctrl,0.44
sk,adult,ctrl,0.45
sk,adult,ctrl,0.497
sk,adult,ctrl,0.522
sk,adult,ctrl,0.537
sk,adult,ctrl,0.54
sk,adult,ctrl,0.58
sk,adult,ctrl,0.76
sk,adult,ctrl,0.78
sk,adult,ctrl,0.89
sk,adult,ctrl,1.055
sk,adult,ctrl,1.062
sk,adult,ctrl,1.066
sk,adult,ctrl,1.19
sk,adult,ctrl,1.293
sk,adult,hs,0.1
sk,adult,hs,0.21
sk,adult,hs,0.39
sk,adult,hs,0.45
sk,adult,hs,0.481
sk,adult,hs,0.523
sk,adult,hs,0.567
sk,adult,hs,0.621
sk,adult,hs,0.68
sk,adult,hs,0.73
sk,adult,hs,0.79
sk,adult,hs,0.86
sk,adult,hs,0.89
sk,adult,hs,0.98
sk,adult,hs,1.01
sk,adult,hs,1.22
sk,adult,hs,1.23
sk,adult,hs,1.34
sk,adult,hs,1.36
sk,adult,hs,1.4
sk,adult,hs,1.48
sk,adult,hs,1.51
sk,adult,hs,1.51
sk,adult,hs,1.83
sk,pupae,ctrl,0.111
sk,pupae,ctrl,0.128
sk,pupae,ctrl,0.307
sk,pupae,ctrl,0.34
sk,pupae,ctrl,0.4
sk,pupae,ctrl,0.45
sk,pupae,ctrl,0.66
sk,pupae,ctrl,0.67
sk,pupae,ctrl,0.77
sk,pupae,ctrl,0.8
sk,pupae,ctrl,0.82
sk,pupae,ctrl,0.93
sk,pupae,ctrl,1.073
sk,pupae,ctrl,1.131
sk,pupae,ctrl,1.22
sk,pupae,ctrl,1.37
sk,pupae,ctrl,1.521
sk,pupae,ctrl,1.683
sk,pupae,ctrl,1.829
sk,pupae,ctrl,1.841
sk,pupae,ctrl,1.89
sk,pupae,ctrl,1.896
sk,pupae,ctrl,1.98
sk,pupae,ctrl,2.044
vt,adult,ctrl,0.011
vt,adult,ctrl,0.039
vt,adult,ctrl,0.195
vt,adult,ctrl,0.22
vt,adult,ctrl,0.229
vt,adult,ctrl,0.237
vt,adult,ctrl,0.254
vt,adult,ctrl,0.381
vt,adult,ctrl,0.423
vt,adult,ctrl,0.515
vt,adult,ctrl,0.572
vt,adult,ctrl,0.72
vt,adult,ctrl,0.75
vt,adult,ctrl,0.773
vt,adult,ctrl,0.829
vt,adult,ctrl,0.829
vt,adult,ctrl,0.981
vt,adult,ctrl,1.024
vt,adult,ctrl,1.168
vt,adult,ctrl,1.336
vt,adult,ctrl,1.337
vt,adult,ctrl,1.385
vt,adult,ctrl,1.407
vt,adult,ctrl,1.564
vt,adult,hs,0.022
vt,adult,hs,0.028
vt,adult,hs,0.087
vt,adult,hs,0.093
vt,adult,hs,0.216
vt,adult,hs,0.279
vt,adult,hs,0.332
vt,adult,hs,0.376
vt,adult,hs,0.453
vt,adult,hs,0.776
vt,adult,hs,0.871
vt,adult,hs,0.89
vt,adult,hs,0.906
vt,adult,hs,1.011
vt,adult,hs,1.1
vt,adult,hs,1.1
vt,adult,hs,1.119
vt,adult,hs,1.145
vt,adult,hs,1.159
vt,adult,hs,1.291
vt,adult,hs,1.33
vt,adult,hs,1.43
vt,adult,hs,1.43
vt,adult,hs,1.5
vt,pupae,ctrl,0.016
vt,pupae,ctrl,0.23
vt,pupae,ctrl,0.23
vt,pupae,ctrl,0.31
vt,pupae,ctrl,0.507
vt,pupae,ctrl,0.513
vt,pupae,ctrl,0.518
vt,pupae,ctrl,0.518
vt,pupae,ctrl,0.573
vt,pupae,ctrl,0.577
vt,pupae,ctrl,0.661
vt,pupae,ctrl,0.777
vt,pupae,ctrl,0.934
vt,pupae,ctrl,0.958
vt,pupae,ctrl,0.964
vt,pupae,ctrl,1.03
vt,pupae,ctrl,1.066
vt,pupae,ctrl,1.11
vt,pupae,ctrl,1.157
vt,pupae,ctrl,1.27
vt,pupae,ctrl,1.27
vt,pupae,ctrl,1.45
vt,pupae,ctrl,1.719
vt,pupae,ctrl,1.92